0_fmes,0_acc,0_rec,0_jacc,0_tp,0_fp,0_tn,0_fn,1_fmes,1_acc,1_rec,1_jacc,1_tp,1_fp,1_tn,1_fn
0.9794316225660479,0.960092,0.9614596909327872,0.9596923089354035,237544,455,2479,9522,0.33197187813860063,0.960092,0.8449216087252897,0.19902055234425176,2479,9522,237544,455
0.9699864427091304,0.9443,0.9436136575219531,0.9417220150581106,225016,479,11059,13446,0.6136559109952002,0.9443,0.9584850060669093,0.4426432917066923,11059,13446,225016,479
0.9842008629014543,0.969504,0.9779065362061014,0.9688931866123195,237467,2259,4909,5365,0.5628941635133585,0.969504,0.6848493303571429,0.3916859490943908,4909,5365,237467,2259
0.9835630756900018,0.968172,0.9694783008840908,0.9676577583578905,238068,462,3975,7495,0.49977997108191363,0.968172,0.8958755916159568,0.33313778075762657,3975,7495,238068,462
0.9892048879390652,0.978724,0.9902358749314317,0.9786403556326575,243702,2916,979,2403,0.26906692318263026,0.978724,0.2513478818998716,0.15544617338837727,979,2403,243702,2916
0.9870420173937341,0.974772,0.9761658031088083,0.9744155575477553,240210,442,3483,5865,0.5248248323664582,0.974772,0.8873885350318471,0.3557711950970378,3483,5865,240210,442
0.988179552757558,0.976928,0.9774984796270019,0.976635286873957,241100,218,3132,5550,0.5206117021276596,0.976928,0.9349253731343283,0.35191011235955055,3132,5550,241100,218
0.9984054614946997,0.996816,1.0,0.996816,249204,796,0,0,0.0,0.996816,0.0,0.0,0,0,249204,796
0.9915470679720098,0.983412,0.9851075118568831,0.9832358422301545,243226,470,2627,3677,0.5588767152430593,0.983412,0.8482402324830481,0.3878063182757603,2627,3677,243226,470
0.9971496197814372,0.99434,0.9944033298781026,0.994315442712518,247505,22,1080,1393,0.6041958041958042,0.99434,0.9800362976406534,0.43286573146292584,1080,1393,247505,22
0.9901730599422999,0.98068,0.9914923439244416,0.9805373779052899,243338,2742,1832,2088,0.43136331528137506,0.98068,0.4005247048535199,0.2749924947463224,1832,2088,243338,2742
0.9933544425138088,0.986828,0.9981101391440471,0.9867966287900051,246113,2827,594,466,0.26511939299263554,0.986828,0.17363344051446947,0.15281708258296886,594,466,246113,2827
0.9964934960006464,0.993056,0.9937315693636496,0.9930114972142604,246672,180,1592,1556,0.6471544715447155,0.993056,0.8984198645598194,0.47836538461538464,1592,1556,246672,180
0.983781147107841,0.96808,0.969398381799247,0.96808,242020,340,0,7640,0.0,0.96808,0.0,0.0,0,7640,242020,340
0.9860155153915986,0.972888,0.9806618157044771,0.9724167680656333,238951,2066,4271,4712,0.5575718015665796,0.972888,0.673978223133975,0.38655081907864963,4271,4712,238951,2066
0.9773069398714289,0.956524,0.964433913670547,0.9556209756117479,234044,2238,5087,8631,0.4834861949341823,0.956524,0.6944709897610921,0.31881423915768364,5087,8631,234044,2238
0.9948646902766324,0.989888,0.991027633432082,0.9897818538982955,244875,311,2597,2217,0.6726236726236726,0.989888,0.8930536451169189,0.5067317073170732,2597,2217,244875,311
0.9961048858279941,0.992272,0.9968002259613444,0.992239997750724,247037,1139,1031,793,0.516274411617426,0.992272,0.4751152073732719,0.34795815052311846,1031,793,247037,1139
0.9633593664299955,0.93186,0.9452820950081466,0.9293088995675954,223943,4072,9022,12963,0.5143818238832351,0.93186,0.6890178707805101,0.3462409333384503,9022,12963,223943,4072
0.9810054087784286,0.963716,0.9673187229772421,0.9627189557526489,234243,1157,6686,7914,0.595820523102972,0.963716,0.852479918398572,0.4243193501301009,6686,7914,234243,1157
0.9851915610503095,0.971028,0.9735140813770253,0.9708153019203959,240935,688,1822,6555,0.3347111233581335,0.971028,0.7258964143426295,0.20099282956425812,1822,6555,240935,688
0.973599389505166,0.94866,0.948587323791239,0.9485569080437196,236664,8,501,12827,0.07241454072414541,0.94866,0.9842829076620825,0.03756748650269946,501,12827,236664,8
0.9766887614508081,0.95618,0.9613402925554196,0.9544395924308589,229495,1726,9550,9229,0.6355015804358676,0.95618,0.8469315360056757,0.46574006339917096,9550,9229,229495,1726
0.9875228515448874,0.975648,0.9826171365178804,0.9753532245658071,240922,1826,2990,4262,0.49552535631421935,0.975648,0.6208471760797342,0.3293677021370346,2990,4262,240922,1826
0.9836686029870538,0.968276,0.9696459163872266,0.9678620633762866,238849,454,3220,7477,0.44812469556746226,0.968276,0.8764289602612956,0.28876333961079725,3220,7477,238849,454
0.9884211634725979,0.977128,0.9801131686003317,0.9771073966569913,244057,766,225,4952,0.07295719844357977,0.977128,0.22704339051463168,0.03785966683493185,225,4952,244057,766
0.9934665774667076,0.987148,0.9879440597903455,0.9870179720076284,244283,232,2504,2981,0.609171633621214,0.987148,0.9152046783625731,0.43799195382193457,2504,2981,244283,232
0.9874893015602625,0.975852,0.9765189520624303,0.97528777037316,238255,308,5708,5729,0.6540995817337995,0.975852,0.9488031914893617,0.4859940400170285,5708,5729,238255,308
0.9937097961990244,0.987632,0.9878297376659305,0.9874982310724755,244233,83,2675,3009,0.6337360814972756,0.987632,0.9699057287889775,0.463846020461245,2675,3009,244233,83
0.9892019488767004,0.978848,0.9901360432983959,0.9786346024088597,242215,2875,2497,2413,0.4857031705893795,0.978848,0.4648175725986597,0.3207450224791265,2497,2413,242215,2875
0.9821030526169005,0.965604,0.974728779528535,0.9648354434520888,235937,2482,5464,6117,0.5596353766579608,0.965604,0.6876415806695193,0.3885372964516817,5464,6117,235937,2482
